# step	time	FV	KE	PE	n_radicals	n_inert	n_vinyl
0	0.000000	0.315667	0.00	171060.81	0	0	100
50	0.010000	0.286667	0.11	171061.30	0	0	100
100	0.020000	0.326333	162295.53	638515.89	2	0	100
150	0.030000	0.309000	161359.84	601980.36	2	1	99
200	0.040000	0.319000	142121.91	610123.61	2	3	97
250	0.050000	0.316333	135464.57	613558.01	2	3	97
300	0.060000	0.319667	135913.67	564649.81	2	3	97
350	0.070000	0.313333	120565.97	682606.51	2	4	96
400	0.080000	0.311667	129203.95	679055.99	2	6	94
450	0.090000	0.317667	122584.20	577987.12	2	6	94
500	0.100000	0.302000	119329.80	566352.24	2	6	94
550	0.110000	0.320333	134512.48	618081.68	2	6	94
600	0.120000	0.329333	126540.17	502340.38	2	8	92
650	0.130000	0.293667	119212.68	494551.77	2	8	92
700	0.140000	0.318667	137871.89	541987.79	2	8	92
750	0.150000	0.313333	128167.46	591132.19	2	8	92
800	0.160000	0.305333	119523.53	625336.47	2	8	92
850	0.170000	0.305667	132857.06	615498.19	2	9	91
900	0.180000	0.317333	119267.11	596092.93	2	9	91
950	0.190000	0.293000	116318.56	665181.58	2	9	91
1000	0.200000	0.312667	126634.38	528504.43	2	9	91
1050	0.210000	0.355667	126145.42	542389.25	2	9	91
1100	0.220000	0.306000	125934.26	663199.87	2	9	91
1150	0.230000	0.310333	125458.08	847214.50	2	9	91
1200	0.240000	0.309000	131502.78	553866.70	2	11	89
1250	0.250000	0.313000	114210.14	658546.59	2	12	88
1300	0.260000	0.320000	123693.24	708031.25	2	12	88
1350	0.270000	0.304667	127937.98	687067.27	2	12	88
1400	0.280000	0.308333	118342.57	647202.06	2	12	88
1450	0.290000	0.325667	113379.37	717772.26	2	12	88
1500	0.300000	0.265000	120142.77	568641.91	2	12	88
1550	0.310000	0.290667	117219.64	387686.79	2	12	88
1600	0.320000	0.308333	124720.15	509590.91	2	12	88
1650	0.330000	0.318000	121140.99	605267.14	2	13	87
1700	0.340000	0.322667	123718.00	702936.32	2	13	87
1750	0.350000	0.307333	118804.96	588149.00	2	13	87
1800	0.360000	0.325000	102738.41	623982.20	2	13	87
1850	0.370000	0.290667	112061.73	562869.02	2	14	86
1900	0.380000	0.302667	109282.36	610794.95	2	15	85
1950	0.390000	0.321667	113559.74	636363.12	2	15	85
2000	0.400000	0.309333	124560.46	731348.02	2	16	84
2050	0.410000	0.338333	114865.86	616604.47	2	16	84
2100	0.420000	0.317000	121247.89	527187.68	2	16	84
2150	0.430000	0.305000	110360.83	639265.44	2	16	84
